,Original Team,NameASCII,fgId,tjid,type,Years,Dollars,Symbol,Options,dup
299,Ryno World,Noble Meyer,sa3022945,noblemeyer,aa,U,$-,,3.0,False
300,Ryno World,Robby Snelling,sa3020707,robbysnelling,aa,U,$-,,3.0,False
301,Ryno World,Xavier Isaac,sa3020498,xavierisaac,aa,U,$-,,3.0,False
302,Springfield Zephyrs,Bryson Stott,26294,brysonstott,Arb 1,Arb 1,40%,¹,,False
303,Springfield Zephyrs,Gabriel Moreno,22664,gabrielmoreno,Arb 1,Arb 1,40%,¹,,False
304,Springfield Zephyrs,Matthew Boyd,15440,matthewboyd,aaa option,1,$3 opt,†,,False
305,Springfield Zephyrs,Tylor Megill,21318,tylormegill,contract,2,$1.50,,,False
306,Springfield Zephyrs,Ceddanne Rafaela,24262,ceddannerafaela,pre-arb,2,$1.00,@,,False
307,Springfield Zephyrs,Connor Norby,29592,connornorby,pre-arb,2,$1.00,@,,False
308,Springfield Zephyrs,Pete Crow-Armstrong,27769,petecrowarmstrong,pre-arb,2,$1.00,@,,False
309,Springfield Zephyrs,Reese Olson,24968,reeseolson,contract,1,$1.00,,,False
310,Springfield Zephyrs,Zach Neto,31347,zachneto,pre-arb,1,$1.00,@,,False
311,Springfield Zephyrs,Brendan McKay,20186,brendanmckay,cut,1,$1.00,,,False
312,Springfield Zephyrs,Clayton Kershaw,2036,claytonkershaw,aaa option,1,$3 opt,†,,False
313,Springfield Zephyrs,Kirby Yates,9073,kirbyyates,aaa option,1,$3 opt,†,,False
314,Springfield Zephyrs,Marcus Stroman,13431,marcusstroman,aaa option,1,$3 opt,†,,False
315,Springfield Zephyrs,Ryan Feltner,21446,ryanfeltner,aaa option,1,$3 opt,†,,False
316,Springfield Zephyrs,Ryan O'Hearn,16442,ryanohearn,aaa option,1,$3 opt,†,,False
317,Springfield Zephyrs,TJ Friedl,19522,tjfriedl,aaa option,1,$3 opt,†,,False
318,Springfield Zephyrs,Logan O'Hoppe,24729,loganohoppe,pre-arb,1,$1.00,@,,False
319,Springfield Zephyrs,AJ Smith-Shawver,29960,ajsmithshawver,aa,U,$-,,3.0,False
320,Springfield Zephyrs,Chase DeLauter,32127,chasedelauter,aa,U,$-,,3.0,False
321,Springfield Zephyrs,Cole Young,31680,coleyoung,aa,U,$-,,3.0,False
322,Springfield Zephyrs,Colt Keith,27899,coltkeith,aa,U,$-,,2.0,False
323,Springfield Zephyrs,Dalton Rushing,31382,daltonrushing,aa,U,$-,,3.0,False
324,Springfield Zephyrs,Harry Ford,29958,harryford,aa,U,$-,,3.0,False
325,Springfield Zephyrs,Jett Williams,sa3020134,jettwilliams,aa,U,$-,,3.0,False
326,Springfield Zephyrs,Jordan Walker,27475,jordanwalker,aa,U,$-,,2.0,False
327,Springfield Zephyrs,Masyn Winn,27479,masynwinn,aa,U,$-,,3.0,False
328,Springfield Zephyrs,Noelvi Marte,26517,noelvimarte,aa,U,$-,,2.0,False
329,Springfield Zephyrs,Samuel Basallo,28824,samuelbasallo,aa,U,$-,,3.0,False
330,Springfield Zephyrs,Tink Hence,sa3014709,tinkhence,aa,U,$-,,3.0,False
331,Structure Fire,Shane McClanahan,21483,shanemcclanahan,Arb 2,Arb 2,60%,²,,False
332,Structure Fire,Tanner Houck,19879,tannerhouck,Arb 2,Arb 2,60%,²,,False
333,Structure Fire,Riley Greene,25976,rileygreene,Arb 1,Arb 1,40%,¹,,False
334,Structure Fire,Dean Kremer,19350,deankremer,aaa option,1,$3 opt,†,,False
335,Structure Fire,Mitchell Parker,27636,mitchellparker,aaa option,1,$3 opt,†,,False
336,Structure Fire,Tobias Myers,22191,tobiasmyers,aaa option,1,$3 opt,†,,False
337,Structure Fire,Tyler Stephenson,17988,tylerstephenson,aaa option,1,$3 opt,†,,False
338,Structure Fire,Marcus Semien,12533,marcussemien,contract,1,$4.55,,,False
339,Structure Fire,Anthony Volpe,27647,anthonyvolpe,contract,6,$2.50,,,False
340,Structure Fire,Jesus Luzardo,19959,jesusluzardo,contract,2,$2.00,,,False
341,Structure Fire,Marcelo Mayer,29668,marcelomayer,contract,7,$1.00,,,False
342,Structure Fire,Colton Cowser,29591,coltoncowser,pre-arb,2,$1.00,@,,False
343,Structure Fire,Elly De La Cruz,26668,ellydelacruz,pre-arb,1,$1.00,@,,False
344,Structure Fire,Francisco Alvarez,26121,franciscoalvarez,pre-arb,1,$1.00,@,,False
345,Structure Fire,Dylan Carlson,20126,dylancarlson,cut,3,$2.15,,,False
346,Structure Fire,Spencer Howard,23252,spencerhoward,cut,1,$1.95,,,False
347,Structure Fire,Asa Lacy,sa3014423,asalacy,cut,4,$1.21,,,False
348,Structure Fire,Alex Kirilloff,20325,alexkirilloff,cut,2,$1.00,,,False
349,Structure Fire,Evan White,20078,evanwhite,cut,2,$1.00,,,False
350,Structure Fire,Andrew Benintendi,17901,andrewbenintendi,aaa option,1,$3 opt,†,,False
351,Structure Fire,Beau Brieske,26079,beaubrieske,aaa option,1,$3 opt,†,,False
352,Structure Fire,James Outman,24770,jamesoutman,contract,1,$2.70,,,False
353,Structure Fire,Jo Adell,20220,joadell,pre-arb,1,$1.00,@,,False
354,Structure Fire,JJ Wetherholt,sa3025154,jjwetherholt,contract,8,$1.00,,,False
355,Structure Fire,Aidan Miller,sa3022609,aidanmiller,aa,U,$-,,3.0,False
356,Structure Fire,Brett Baty,26123,brettbaty,aa,U,$-,,2.0,False
357,Structure Fire,Charlie Condon,sa3025257,charliecondon,aa,U,$-,,3.0,False
358,Structure Fire,DJ Herz,26389,djherz,aa,U,$-,,3.0,False
359,Structure Fire,Edwin Arroyo,sa3017626,edwinarroyo,aa,U,$-,,3.0,False
360,Structure Fire,Jacob Wilson,33266,jacobwilson,aa,U,$-,,3.0,False
361,Structure Fire,Jacob Wilson,sa3045404,jacobwilson1,aa,U,$-,,3.0,True
362,Structure Fire,Jordan Lawlar,29976,jordanlawlar,aa,U,$-,,3.0,False
363,Structure Fire,Josuar De Jesus Gonzalez,sa3067675,josuardejesusgonzalez,aa,U,$-,,3.0,False
364,Structure Fire,Konnor Griffin,sa3065496,konnorgriffin,aa,U,$-,,3.0,False
365,Structure Fire,Luke Keaschall,33321,lukekeaschall,aa,U,$-,,3.0,False
366,Structure Fire,Marco Luciano,25616,marcoluciano,aa,U,$-,,3.0,False
367,Structure Fire,Robert Hassell III,27482,roberthasselliii,aa,U,$-,,3.0,False
368,Structure Fire,Thayron Liranzo,sa3015790,thayronliranzo,aa,U,$-,,3.0,False
369,West Coast Spartans,Corbin Carroll,25878,corbincarroll,Arb 1,Arb 1,40%,¹,,False
370,West Coast Spartans,Griffin Canning,19867,griffincanning,Arb 1,Arb 1,40%,¹,,False
371,West Coast Spartans,Aaron Civale,19479,aaroncivale,aaa option,1,$3 opt,†,,False
372,West Coast Spartans,Erick Fedde,17425,erickfedde,aaa option,1,$3 opt,†,,False
373,West Coast Spartans,Freddy Fermin,21840,freddyfermin,aaa option,1,$3 opt,†,,False
374,West Coast Spartans,Garrett Mitchell,27555,garrettmitchell,aaa option,1,$3 opt,†,,False
375,West Coast Spartans,Lucas Erceg,19360,lucaserceg,aaa option,1,$3 opt,†,,False
376,West Coast Spartans,Spencer Horwitz,26477,spencerhorwitz,aaa option,1,$3 opt,†,,False
377,West Coast Spartans,Devin Williams,15816,devinwilliams,contract,1,$2.30,,,False
378,West Coast Spartans,Christopher Morel,21897,christophermorel,contract,1,$2.00,,,False
379,West Coast Spartans,Max Meyer,27474,maxmeyer,contract,3,$1.70,,,False
380,West Coast Spartans,Ranger Suarez,17277,rangersuarez,contract,1,$1.69,,,False
381,West Coast Spartans,Sandy Alcantara,18684,sandyalcantara,contract,2,$1.05,,,False
382,West Coast Spartans,Evan Carter,27790,evancarter,pre-arb,1,$1.00,@,,False
383,West Coast Spartans,Jung Hoo Lee,33824,junghoolee,contract,1,$1.00,,,False
384,West Coast Spartans,Sal Frelick,29622,salfrelick,pre-arb,1,$1.00,@,,False
385,West Coast Spartans,Caleb Durbin,29646,calebdurbin,aaa option,1,$3 opt,†,,False
386,West Coast Spartans,Kyle Hart,19646,kylehart,aaa option,1,$3 opt,†,,False
387,West Coast Spartans,Simeon Woods Richardson,24494,simeonwoodsrichardson,aaa option,1,$3 opt,†,,False
388,West Coast Spartans,Aaron Ashby,23550,aaronashby,contract,3,$1.25,,,False
389,West Coast Spartans,Brooks Lee,31595,brookslee,pre-arb,2,$1.00,@,,False
390,West Coast Spartans,Andrew Painter,sa3017880,andrewpainter,contract,10,$1.05,,,False
391,West Coast Spartans,Jesus Made,sa3024108,jesusmade,contract,12,$1.00,,,False
392,West Coast Spartans,Adael Amador,27962,adaelamador,aa,U,$-,,3.0,False
393,West Coast Spartans,Bryce Eldridge,33390,bryceeldridge,aa,U,$-,,3.0,False
394,West Coast Spartans,Caden Dana,31508,cadendana,aa,U,$-,,3.0,False
395,West Coast Spartans,Chase Hampton,sa3020682,chasehampton,aa,U,$-,,3.0,False
396,West Coast Spartans,Coby Mayo,28312,cobymayo,aa,U,$-,,3.0,False
397,West Coast Spartans,Felnin Celesten,sa3023381,felnincelesten,aa,U,$-,,3.0,False
398,West Coast Spartans,Gavin Stone,27792,gavinstone,aa,U,$-,,3.0,False
399,West Coast Spartans,Jacob Misiorowski,31623,jacobmisiorowski,aa,U,$-,,3.0,False
400,West Coast Spartans,Jarlin Susana,sa3018808,jarlinsusana,aa,U,$-,,3.0,False
401,West Coast Spartans,Leo De Vries,sa3023363,leodevries,aa,U,$-,,3.0,False
402,West Coast Spartans,Quinn Mathews,sa3023407,quinnmathews,aa,U,$-,,3.0,False
403,West Coast Spartans,Rhett Lowder,33876,rhettlowder,aa,U,$-,,3.0,False
404,West Coast Spartans,Ricky Tiedemann,sa3018096,rickytiedemann,aa,U,$-,,3.0,False
405,West Coast Spartans,Roderick Arias,sa3019674,roderickarias,aa,U,$-,,3.0,False
406,West Coast Spartans,Roki Sasaki,35323,rokisasaki,aa,U,$-,,3.0,False
407,West Coast Spartans,Roman Anthony,31812,romananthony,aa,U,$-,,3.0,False
408,West Coast Spartans,Termarr Johnson,sa3020214,termarrjohnson,aa,U,$-,,3.0,False
409,West Coast Spartans,Zyhir Hope,sa3022703,zyhirhope,aa,U,$-,,3.0,False
410,Young Bucks,Brandon Pfaadt,27782,brandonpfaadt,Arb 1,Arb 1,40%,¹,,False
411,Young Bucks,Brayan Bello,23920,brayanbello,Arb 1,Arb 1,40%,¹,,False
412,Young Bucks,Brandon Nimmo,12927,brandonnimmo,aaa option,1,$3 opt,†,,False
413,Young Bucks,Byron Buxton,14161,byronbuxton,aaa option,1,$3 opt,†,,False
414,Young Bucks,Patrick Bailey,27478,patrickbailey,aaa option,1,$3 opt,†,,False
415,Young Bucks,Cole Ragans,21846,coleragans,contract,1,$5.45,,,False
416,Young Bucks,Clay Holmes,13649,clayholmes,contract,1,$3.40,,,False
417,Young Bucks,Jasson Dominguez,28080,jassondominguez,contract,8,$2.00,,,False
418,Young Bucks,Gleyber Torres,16997,gleybertorres,contract,1,$1.50,,,False
419,Young Bucks,Ke'Bryan Hayes,18577,kebryanhayes,contract,1,$1.50,,,False
420,Young Bucks,Michael Toglia,25845,michaeltoglia,contract,1,$1.50,,,False
421,Young Bucks,Ryan Weathers,23796,ryanweathers,contract,2,$1.29,,,False
422,Young Bucks,Austin Wells,27562,austinwells,pre-arb,1,$1.00,@,,False
423,Young Bucks,Garrett Crochet,27463,garrettcrochet,pre-arb,1,$1.00,@,,False
424,Young Bucks,Jared Jones,27863,jaredjones,pre-arb,1,$1.00,@,,False
425,Young Bucks,Jared Jones,sa3034881,jaredjones1,pre-arb,1,$1.00,@,,True
426,Young Bucks,Wander Franco,23667,wanderfranco,cut,6,$2.55,,,False
427,Young Bucks,Miguel Andujar,15878,miguelandujar,cut,1,$1.00,,,False
428,Young Bucks,Jonathan Cannon,31730,jonathancannon,aaa option,1,$3 opt,†,,False
429,Young Bucks,Osvaldo Bido,23150,osvaldobido,aaa option,1,$3 opt,†,,False
430,Young Bucks,Sean Burke,29878,seanburke,aaa option,1,$3 opt,†,,False
431,Young Bucks,Tony Gonsolin,19388,tonygonsolin,aaa option,1,$3 opt,†,,False
432,Young Bucks,Frankie Montas,14309,frankiemontas,pre-arb,1,$1.00,@,,False
433,Young Bucks,Ben Rice,29576,benrice,aa,U,$-,,2.0,False
434,Young Bucks,Bryan Abreu,16609,bryanabreu,aa,U,$-,,2.0,False
435,Young Bucks,Cade Smith,27867,cadesmith,aa,U,$-,,2.0,False
436,Young Bucks,Drew Rasmussen,25385,drewrasmussen,aa,U,$-,,2.0,False
437,Young Bucks,Eury Perez,27768,euryperez,aa,U,$-,,1.0,False
438,Young Bucks,Hiroto Takahashi,sa3063923,hirototakahashi,aa,U,$-,,3.0,False
439,Young Bucks,Kris Bubic,21455,krisbubic,aa,U,$-,,2.0,False
440,Young Bucks,Luis Gil,21052,luisgil,aa,U,$-,,2.0,False
441,Young Bucks,Orion Kerkering,31776,orionkerkering,aa,U,$-,,2.0,False
442,Young Bucks,Parker Messick,31986,parkermessick,aa,U,$-,,2.0,False
443,Young Bucks,Porter Hodge,26413,porterhodge,aa,U,$-,,3.0,False
444,Young Bucks,Shunpeita Yamashita,sa3063816,shunpeitayamashita,aa,U,$-,,3.0,False
445,Young Bucks,Will Warren,30182,willwarren,aa,U,$-,,2.0,False
